"supportprojectstatuslogid","previousstatus","currentstatus","startdate","enddate","reason","additionalinfo","supportprojectstatuslog2supportproject","changetype"
109,1,3,"2018-09-08","2018-09-27",NULL,NULL,18,0
14,1,3,"2018-07-04","2018-07-26",NULL,NULL,18,0
55,1,3,"2018-07-26","2018-09-08",NULL,NULL,18,0
137,4,5,"2018-09-27","2019-01-30",NULL,NULL,18,0
256,6,8,"2019-01-30",NULL,NULL,NULL,18,0
56,1,3,"2018-08-06","2018-09-14",NULL,NULL,19,0
124,1,3,"2018-09-14","2018-09-14",NULL,NULL,19,0
126,4,5,"2018-09-14","2018-09-27",NULL,NULL,19,0
136,4,5,"2018-09-27","2019-01-25",NULL,NULL,19,0
125,4,5,"2018-09-14","2018-09-14",NULL,NULL,19,0
251,6,8,"2019-01-25",NULL,NULL,NULL,19,0
15,1,9,"2018-07-05","2018-07-05",3,"This was a demo",21,1
920,7,10,"2020-02-21",NULL,NULL,NULL,21,0
16,9,7,"2018-07-05",NULL,NULL,NULL,21,0
6,1,9,"2018-07-04","2018-07-04",NULL,NULL,22,0
2,1,9,"2018-07-04","2018-07-04",NULL,NULL,22,0
3,1,9,"2018-07-04","2018-07-04",NULL,NULL,22,0
4,1,9,"2018-07-04","2018-07-04",NULL,NULL,22,0
5,1,9,"2018-07-04","2018-07-04",NULL,NULL,22,0
7,1,9,"2018-07-04","2018-07-04",NULL,NULL,22,0
8,1,9,"2018-07-04","2018-07-04",NULL,NULL,22,0
9,1,9,"2018-07-04","2018-07-04",NULL,NULL,22,0
10,1,9,"2018-07-04","2018-07-04",NULL,NULL,22,0
11,1,9,"2018-07-04","2018-07-04",NULL,NULL,22,0
12,1,9,"2018-07-04","2018-07-04",NULL,NULL,22,0
13,1,9,"2018-07-04","2018-07-19",NULL,NULL,22,0
51,1,9,"2018-07-19","2018-07-19",NULL,NULL,22,0
52,1,9,"2018-07-19","2018-07-25",NULL,NULL,22,0
1,1,9,"2018-07-04","2018-07-04",NULL,NULL,22,0
53,1,9,"2018-07-25","2018-07-25",3,"fd",22,1
54,9,7,"2018-07-25",NULL,NULL,NULL,22,0
21,1,3,"2018-07-06","2018-07-06",NULL,NULL,23,0
19,1,3,"2018-07-06","2018-07-06",NULL,NULL,23,0
18,1,3,"2018-07-06","2018-07-06",NULL,NULL,23,0
17,1,3,"2018-07-06","2018-07-06",NULL,NULL,23,0
20,1,3,"2018-07-06","2018-07-06",NULL,NULL,23,0
24,1,3,"2018-07-06","2018-09-04",NULL,NULL,23,0
101,3,4,"2018-09-04","2018-11-05",NULL,NULL,23,0
176,3,4,"2018-11-05","2019-07-02",NULL,NULL,23,0
482,4,6,"2019-07-02",NULL,NULL,NULL,23,0
25,1,3,"2018-07-06","2018-07-06",NULL,NULL,24,0
23,1,3,"2018-07-06","2018-07-06",NULL,NULL,24,0
22,1,3,"2018-07-06","2018-07-06",NULL,NULL,24,0
262,3,4,"2019-02-08",NULL,NULL,NULL,24,0
33,3,4,"2018-07-06","2018-09-04",NULL,NULL,24,0
103,3,4,"2018-09-04","2019-02-08",NULL,NULL,24,0
26,1,3,"2018-07-06","2018-09-04",NULL,NULL,25,0
102,3,4,"2018-09-04","2019-02-13",NULL,NULL,25,0
289,3,4,"2019-02-13",NULL,NULL,NULL,25,0
27,1,3,"2018-07-06","2019-01-11",NULL,NULL,26,0
240,3,4,"2019-01-11","2019-01-11",NULL,NULL,26,0
241,4,5,"2019-01-11",NULL,NULL,NULL,26,0
28,1,3,"2018-07-06","2018-07-06",NULL,NULL,27,0
270,3,4,"2019-02-12","2020-02-20",NULL,NULL,27,0
29,3,4,"2018-07-06","2019-02-12",NULL,NULL,27,0
896,4,6,"2020-02-20",NULL,NULL,NULL,27,0
30,1,3,"2018-07-06","2018-07-06",NULL,NULL,28,0
31,1,3,"2018-07-06","2019-02-13",NULL,NULL,28,0
290,3,4,"2019-02-13",NULL,NULL,NULL,28,0
100,1,3,"2018-09-04","2019-01-15",NULL,NULL,29,0
32,1,3,"2018-07-06","2018-09-04",NULL,NULL,29,0
99,1,3,"2018-09-04","2018-09-04",NULL,NULL,29,0
244,3,4,"2019-01-15","2019-04-04",NULL,NULL,29,0
368,4,6,"2019-04-04",NULL,NULL,NULL,29,0
105,1,3,"2018-09-04","2018-12-10",NULL,NULL,30,0
213,3,4,"2018-12-10","2018-12-10",NULL,NULL,30,0
217,4,5,"2018-12-11","2019-03-05",NULL,NULL,30,0
215,4,5,"2018-12-10","2018-12-10",NULL,NULL,30,0
