"previousstatus","currentstatus","startdate","enddate","supportprojectstatuslog2supportproject","changetype"
1,3,"2018-09-08","2018-09-27",18,0
1,3,"2018-07-04","2018-07-26",18,0
1,3,"2018-07-26","2018-09-08",18,0
4,5,"2018-09-27","2019-01-30",18,0
6,8,"2019-01-30",NULL,18,0
1,3,"2018-08-06","2018-09-14",19,0
1,3,"2018-09-14","2018-09-14",19,0
4,5,"2018-09-14","2018-09-27",19,0
4,5,"2018-09-27","2019-01-25",19,0
4,5,"2018-09-14","2018-09-14",19,0
6,8,"2019-01-25",NULL,19,0
1,9,"2018-07-05","2018-07-05",21,1
7,10,"2020-02-21",NULL,21,0
9,7,"2018-07-05",NULL,21,0
1,9,"2018-07-04","2018-07-04",22,0
1,9,"2018-07-04","2018-07-04",22,0
1,9,"2018-07-04","2018-07-04",22,0
1,9,"2018-07-04","2018-07-04",22,0
1,9,"2018-07-04","2018-07-04",22,0
1,9,"2018-07-04","2018-07-04",22,0
1,9,"2018-07-04","2018-07-04",22,0
1,9,"2018-07-04","2018-07-04",22,0
1,9,"2018-07-04","2018-07-04",22,0
1,9,"2018-07-04","2018-07-04",22,0
1,9,"2018-07-04","2018-07-04",22,0
1,9,"2018-07-04","2018-07-19",22,0
1,9,"2018-07-19","2018-07-19",22,0
1,9,"2018-07-19","2018-07-25",22,0
1,9,"2018-07-04","2018-07-04",22,0
1,9,"2018-07-25","2018-07-25",22,1
9,7,"2018-07-25",NULL,22,0
1,3,"2018-07-06","2018-07-06",23,0
1,3,"2018-07-06","2018-07-06",23,0
1,3,"2018-07-06","2018-07-06",23,0
1,3,"2018-07-06","2018-07-06",23,0
1,3,"2018-07-06","2018-07-06",23,0
1,3,"2018-07-06","2018-09-04",23,0
3,4,"2018-09-04","2018-11-05",23,0
3,4,"2018-11-05","2019-07-02",23,0
4,6,"2019-07-02",NULL,23,0
1,3,"2018-07-06","2018-07-06",24,0
1,3,"2018-07-06","2018-07-06",24,0
1,3,"2018-07-06","2018-07-06",24,0
3,4,"2019-02-08",NULL,24,0
3,4,"2018-07-06","2018-09-04",24,0
3,4,"2018-09-04","2019-02-08",24,0
1,3,"2018-07-06","2018-09-04",25,0
3,4,"2018-09-04","2019-02-13",25,0
3,4,"2019-02-13",NULL,25,0
1,3,"2018-07-06","2019-01-11",26,0
3,4,"2019-01-11","2019-01-11",26,0
4,5,"2019-01-11",NULL,26,0
1,3,"2018-07-06","2018-07-06",27,0
3,4,"2019-02-12","2020-02-20",27,0
3,4,"2018-07-06","2019-02-12",27,0
4,6,"2020-02-20",NULL,27,0
1,3,"2018-07-06","2018-07-06",28,0
1,3,"2018-07-06","2019-02-13",28,0
3,4,"2019-02-13",NULL,28,0
1,3,"2018-09-04","2019-01-15",29,0
1,3,"2018-07-06","2018-09-04",29,0
1,3,"2018-09-04","2018-09-04",29,0
3,4,"2019-01-15","2019-04-04",29,0
4,6,"2019-04-04",NULL,29,0
1,3,"2018-09-04","2018-12-10",30,0
3,4,"2018-12-10","2018-12-10",30,0
4,5,"2018-12-11","2019-03-05",30,0
4,5,"2018-12-10","2018-12-10",30,0
4,5,"2018-12-10","2018-12-10",30,0
4,6,"2019-03-05","2019-03-05",30,0
4,5,"2018-12-10","2018-12-11",30,0
6,8,"2019-03-05",NULL,30,0
1,3,"2018-09-04","2018-11-05",31,0
3,4,"2018-11-05","2018-12-11",31,0
4,6,"2019-03-05","2019-03-05",31,0
4,5,"2018-12-12","2019-03-05",31,0
4,5,"2018-12-12","2018-12-12",31,0
4,5,"2018-12-11","2018-12-12",31,0
6,8,"2019-03-05",NULL,31,0
1,3,"2018-09-04","2018-12-12",32,0
3,9,"2018-12-12","2018-12-12",32,0
3,9,"2018-12-12","2018-12-12",32,0
3,9,"2018-12-12","2018-12-12",32,0
3,9,"2018-12-12","2018-12-12",32,0
3,9,"2018-12-12","2018-12-12",32,0
3,9,"2018-12-12","2018-12-12",32,0
3,9,"2018-12-12","2018-12-12",32,1
4,5,"2018-12-12","2019-03-05",32,0
4,5,"2018-12-12","2018-12-12",32,0
4,5,"2018-12-12","2018-12-12",32,0
4,5,"2018-12-12","2018-12-12",32,0
4,6,"2019-03-05","2019-03-05",32,0
6,8,"2019-03-05",NULL,32,0
9,3,"2018-12-12","2018-12-12",32,0
1,3,"2018-09-04","2019-02-13",33,0
3,9,"2019-02-13",NULL,33,1
1,3,"2018-09-04","2018-11-08",34,0
3,9,"2018-11-08",NULL,34,1
0,9,"2018-07-10","2018-07-18",35,0
0,9,"2018-07-18","2018-07-18",35,1
9,7,"2018-07-18",NULL,35,0
1,3,"2018-07-19","2018-07-19",36,0
1,3,"2018-07-19","2018-07-19",36,0
1,3,"2018-07-19","2018-07-19",36,0
1,3,"2018-07-19","2018-07-19",36,0
1,3,"2018-07-19","2018-07-19",36,0
1,3,"2018-07-19","2018-07-19",36,0
1,3,"2018-07-19","2018-07-19",36,0
1,3,"2018-07-19","2018-07-19",36,0
1,3,"2018-07-19","2018-07-19",36,0
4,5,"2018-07-19","2018-07-19",36,0
4,5,"2018-07-19","2018-07-19",36,0
4,5,"2018-07-19","2018-07-19",36,0
4,5,"2018-07-19","2018-07-19",36,0
6,8,"2018-07-19",NULL,36,0
1,3,"2018-08-09",NULL,38,0
1,3,"2018-08-29","2018-08-29",39,0
1,3,"2018-10-04","2018-10-04",39,0
1,3,"2018-10-04","2018-10-04",39,0
1,3,"2018-08-29","2018-10-04",39,0
1,3,"2018-08-29","2018-08-29",39,0
1,3,"2018-08-14","2018-08-29",39,0
1,3,"2018-08-14","2018-08-14",39,0
1,3,"2018-08-14","2018-08-14",39,0
1,3,"2018-08-14","2018-08-14",39,0
1,3,"2018-08-14","2018-08-14",39,0
1,3,"2018-08-14","2018-08-14",39,0
1,3,"2018-08-14","2018-08-14",39,0
1,3,"2018-08-14","2018-08-14",39,0
1,3,"2018-08-14","2018-08-14",39,0
1,3,"2018-08-13","2018-08-14",39,0
1,3,"2018-08-13","2018-08-13",39,0
